,,,CUTOFF DATE: 2020,,,,,
,,,,,,,,
,75,,99,,62,,51,287
Category,Word,Category,Word,Category,Word,Category,Word,Total
Committee members,Chris,Committees - Activities,aXi,IA Activities,Pandora,Past activity titles,A Night In Paris,
,Daniël,,XmasCie,,TAPC,,Blast From The Past,
,Dilan,,Culture Committee,,Kick-IT,,InterRailing,
,Duru,,DiesCie,,Symposium,,MafIA,
,Hein,,Oktoberfest,,Lunch lectures,,UToberfest,
Board members - 45,Wander,,FreshCo,,IBCC,,Tu the moon AD,
,Dani,,GameCie,,Study tour,,Wild Wild West,
,Tristan,,Hyper,,RIAlly,,Bob Ross,
,Twan,,Kick-IT,,Cantus,,How to Borrel,
,Sander,,PartyCo,,Constitution Drink,,Movie park Germany,
,Mathijs,,SocCie,,GMM,,Lahmacun Lecture,
Board functions,Chairman,,Summer Sounds,,GMA,,Animal on spit drink,
,Secretary,,Dipso,,Batavierenrace,,Sweet 16 drink,
,Treasurer,,TAPC,,Freshmen Bowling,,Gender in the blender drink,
,Internal Affairs,ICT,SysCom,,StAf,,Turings Tower,
,External Affairs,,WWW,,Study Evening,,Alpequalpeqi,
,Educational Affairs,Other,Advisory board,BCs modules,Pearls of Computer Science,,Ex on the beach,
,Vice-Chair,,Audit Committee,,Software Systems,,Casino Night,
Old board members - 44,Quirijn,,Board Workload Taskforce,,Networking Systems,,Escape the City,
,Mariska,,DeCo,,Data & Information,,Hot Ones,
,Jochem,Pool,Bartenders,,Computer Systems,,Race Cafe Australia,
,Wout,,Cooking Club,,Intelligent Interaction Design,,Toverland,
,Maarten,,HERO's,,Discrete Stuctures & Efficient Algorithms,,Step into the shadows,
,Oliver,,MedIA,Electives,Data Science & Artificial Intelligence: Seeing through the hype,,Eleven Beers Tour,
,Niels,Publications,I/O Vivat,,Web Science,Past Symposium titles,Hephaestus,
43,Wouter,Study,CoLeX,,Programming Paradigms,,Denarius,
,Bart,,EducaCie,,Smart Spaces,,Zephyrus,
,Bram,,SymCie,,Cyber Physical Systems,,Disseminate,
,Rosan,Travel,EEMCS Trip,Master's Tracks,Data Science & Technology,,Nexus,
,Wesley,,IBCC,,Cyber Security,,CreativIT,
,Michael,,Study Tour,,Software Technology,,CelerIT,
42,Lars,Studies,Technical Computer Science,,Internet Science & Technology,,MobiliIT,
,Willem,,BIT,Tools,Canvas,Past LAN titles,NostalgIA,
,Tom,,Electrical Engineering,,Bronto DB,,MonkIA,
,Jelle,,Applied Mathematics,,Wireshark,,MinIAture,
,Gilian,Associations,Inter-Actief,,Roomboter,,AstronomIA,
Board slogans,Open Up,,ENIAC,,Horus,,ZombIA,
,Zoom Out,,IAPC,,ECA,Past Pandora titles,Fantasia,
,Back on Track,,SNiC,,Fiasco,,Extraterrestrial Encounter,
,Don't Panic,,WISO,,Exact Online,,Games of Gallia,
,Full House,,SU,Programming Languages,Python,,Project Diamond,
Program Director,Vadim Zaytsev,,OS,,Java,Past IBCC titles,SAGA,
Study Advisers,Rianne de Jong,Sister associations campus,Abacus,,C,,Illuminate,
,Maaike Butink,,Alembic,,C++,,Inspire,
,Iris van Duiven,,Arago,,C#,,Primavera,
,Andrea Rijkeboer,,Astatine,,Haskell,Past Study Tour titles,Ascend,
,Sanne Spuls,,Atlantis,,SQL,,Evolve,
Well known teachers,Faizan Ahmed,,Communiqué,,JavaScript,,Fuente,
,Nacir Bouali,,ConcepT,,Assembly,(Former) storage spaces,CSS,
,Tom van Dijk,,Daedalus,Drinking rooms,Abscint,,Hal B,
,Pieter-Tjerk de Boer,,Dimensie,,MBasement,,IA room,
,Faiza Bukhsh,,Ideefiks,Basic linux commands,sudo,,,
,Maurice van Keulen,,Isaac Newton,,mkdir,,,
,Rom Langerak,,Komma,,touch,,,
,Doina Bucur,,Paradoks,,nano,,,
,Wallace Ugulino,,Proto,,chmod,,,
,Mahboobeh Zangiabady,,Scintilla,,systemctl,,,
TCS Departments,Computer Architecture for Embedded Systems (CAES),,Sirius,,kill -9,,,
,Design and Analysis of Communication Systems (DACS),,Stress,,wget,,,
,Data Management & Biometrics (DMB),Sister associations Netherlands,A-Eskwadraat,,echo,,,
,Formal Methods and Tools (FMT),,Christiaan Huygens,,netstat,,,
,Human Media Interaction (HMI),,Cover,,grep,,,
,Pervasive Systems (PS),,De Leidsche Flesch,,,,,
,Services and Cybersecutiry (SCS),,DESDA,,,,,
Honorary Members,Eelco Eerenberg,,FMF,,,,,
,Karel de Jonge,,GEWIS,,,,,
,Han Joosten,,Sticky,,,,,
Honoured member,Arie Duijvestijn,,STORM,,,,,
Members of Merit,Johan Noltes,,Thalia,,,,,
,Sjoerd van der Spoel,,via,,,,,
,Jelte Zeilstra,Company Corner,booking.com,,,,,
,Kevin Alberts,,Fortes Solutions,,,,,
,Job Ulfman,,BetterBe,,,,,
,Frank van Mourik,,Voortman Steel Group,,,,,
One man band,Di Stephano,,Belastingdienst,,,,,
,,,OVSoftware,,,,,
,,,Capgemini,,,,,
,,Do groups,Miranda,,,,,
,,,Tegel,,,,,
,,,Yorinf,,,,,
,,,Insomnia,,,,,
,,,Yolo,,,,,
,,,Lorem Ipsum,,,,,
,,,Slagwaardig,,,,,
,,,Spijkertjes,,,,,
,,,Sudo,,,,,
,,,Wie Geet Lös,,,,,
,,,RedShell,,,,,
,,,Met Mate(n),,,,,
,,,TaCoS,,,,,
,,,Yahtzee,,,,,
,,,ChaChi,,,,,
,,,#Bibz,,,,,
,,,Het Genootschap BIT,,,,,
,,,BIT's Lit,,,,,
,,,Daddy Kool,,,,,
,,,Bits Please!,,,,,
,,,Harambee,,,,,
,,,Das Mooi!,,,,,